Row #,Species,Count,Location,S/P,Date,LocID,SubID
1,Pacific Golden-Plover - Pluvialis fulva,4,Makena,US-HI,27 Apr 2013,L2147677,S13952871
2,Purple Martin - Progne subis,4,Milford Pt. (CT Audubon),US-CT,27 Jun 2009,L109216,S5122342
3,Yellow-billed Cardinal - Paroaria capitata,7,Puuhonua O Honaunau NHP ('Place of Refuge'),US-HI,26 Feb 2014,L778982,S17339484
4,California Condor - Gymnogyps californianus,1,Grand Canyon NP--Hopi Point,US-AZ,18 Aug 2018,L3088800,S47971856
5,Black Swift - Cypseloides niger,5,Hinton--Maxwell Lake,CA-AB,03 Jul 2010,L374122,S6624452
6,Red-crested Cardinal - Paroaria coronata,2,Surfing Goat Dairy,US-HI,26 Apr 2013,L2147670,S13952815
7,Winter Wren - Troglodytes hiemalis,1,New York Botanical Garden,US-NY,28 Dec 2010,L290351,S7332767
8,Hawaiian Coot - Fulica alai,6,Azeka Ponds,US-HI,28 Apr 2013,L2151790,S13981259
9,Evening Grosbeak - Coccothraustes vespertinus,70,Oregon State University,US-OR,16 Apr 2014,L564116,S17938944
10,Montezuma Quail - Cyrtonyx montezumae,2,Madera Canyon--Vault Mine Trail,US-AZ,04 Jul 2015,L211807,S24165130
